ID,Song Title,Tempo,Duration,Year,Album,Artist,Writers,Producer,Url,Start,End,Trim Offset (s),Tags
GR0001,Lavara & Balaclava In C Minor,73,04:08:00,2023,Arte Povera,Beats Pliz,SADAM (GRC),Beats Pliz,https://www.youtube.com/watch?v=dFyfRdS6UEw,,,0.331,underground rap; trap; drill
GR0002,AIMA,152,04:01:00,2025,KYSIΩΝ SOCIATUS ,Billy Sio,"Billy Sio, DuKYS, BORAC (GR)",nxnsense,https://www.youtube.com/watch?v=fLa2kS5L4O4&t=1141s,19:01:00,23:00:00,0.939,trap; hip hop
GR0003,QUE PASA,89,02:33:00,2025,KYSIΩΝ SOCIATUS ,Billy Sio,"Billy Sio, DuKYS",Cloudthougts,https://www.youtube.com/watch?v=fLa2kS5L4O4,00:00:00,02:32:00,0.117,trap; hip hop; experimental hip hop
GR0004,Antigonidon,93,04:34:00,2025,Fthina Tricks 3,Bloody Hawk,"Bloody Hawk, LEX (GRC)","Ortiz, DNL (GRC), Mateos Nps",https://www.youtube.com/watch?v=U0Bf8E1SPRo,,,0.299,trap; hip hop
GR0005,Daewoo 2,97,03:33:00,2019,1 Evro,Bloody Hawk,Bloody Hawk,Mateos Nps,https://www.youtube.com/watch?v=9-i2ufMa0bU,,,0.139,hip hop
GR0006,Dilima,89,04:11:00,2019,1 Evro,Bloody Hawk,Bloody Hawk,Beef95,https://www.youtube.com/watch?v=BcqkuOWSEs0,,,0.227,hip hop
GR0007,Eimaste Allios,74,03:42:00,2019,1 Evro,Bloody Hawk,Bloody Hawk,Chico Beatz,https://www.youtube.com/watch?v=OntmnNAD-lw,,,0.139,hip hop
GR0008,Piso Pali,104,05:14:00,2019,1 Evro,Bloody Hawk,Bloody Hawk,Trouf,https://www.youtube.com/watch?v=UKvF7wOMrWo,,,0.152,hip hop
GR0009,To Eikosalepto,89,05:22:00,2019,1 Evro,Bloody Hawk,Bloody Hawk,Chico Beatz,https://www.youtube.com/watch?v=JV4y1cEDFPM,,,0.154,hip hop
GR0010,Enteka Eikosipente,95,04:23:00,2009,Arkham Asylum,Bong Da City,"Inka (GRC), E.P. (GRC), Kako (GRC), Mani (GRC), Styl Mo, Tsaki",Mani (GRC),https://www.youtube.com/watch?v=-r-7sgbIXQE,,,0.149,underground rap; trap; hip hop
GR0011,Files Kai Filoi,135,03:24:00,2025,,Dani Gambino,"Tsaki, Dani Gambino","Th Mark, Mpelafon",https://www.youtube.com/watch?v=rA7628Ms1Gs,,,0.000,underground rap; trap; drill; hip hop
GR0012,Mavro Delorean,117,02:44:00,2021,SESSIONS,Dof Twogee,Dof Twogee,Pop Genius,https://www.youtube.com/watch?v=pezzwdDaWhg,,,0.053,underground rap; drill
GR0013,Siragga,147,03:08:00,2015,Mavro Aftokinito,Mikros Kleftis,Mikros Kleftis,Asto Pasam,https://www.youtube.com/watch?v=22m-GWmHpS0,,,0.245,underground rap; hip hop
GR0014,Sklira Potiria,139,03:46:00,2015,Mavro Aftokinito,Mikros Kleftis,"Zinon, Mikros Kleftis",Mikros Kleftis,https://www.youtube.com/watch?v=WbflAFYCxWg,,,0.085,underground rap; hip hop
GR0015,Mistiko,169,03:11:00,2015,Mavro Aftokinito,Mikros Kleftis,Mikros Kleftis,Mikros Kleftis,https://www.youtube.com/watch?v=tgDBk6Yg49w,,,0.096,underground rap; hip hop
GR0016,HOT WHEELS,131,02:54:00,2023,CASH OUT ,Mikros Kleftis,"Tsaki, Mikros Kleftis",Jessy Blue,https://www.youtube.com/watch?v=qfcxjh0wSBs,,,0.000,underground rap; trap
GR0017,LOADOUT,129,03:14:00,2023,CASH OUT ,Mikros Kleftis,"Tsaki, Mikros Kleftis",DVMN BOI,https://www.youtube.com/watch?v=Ct1ga8C5yhs,,,0.011,underground rap; trap
GR0021,Ta Sinefa Fevgoune,143,04:05:00,2026,Enoxoi Kai Athooi ,Logos Timis,Logos Timis,,https://www.youtube.com/watch?v=zg1cHm-Vizc,,,0.000,underground rap; hip hop
GR0022,Gi Kai Nero,145,04:06:00,2026,Enoxoi Kai Athooi ,Logos Timis,Logos Timis,,https://www.youtube.com/watch?v=WASEbFQR1mk,,,0.437,underground rap; hip hop
GR0023,Maggisa,174,03:42:00,2016,Perierga Paidia ,Logos Timis,"Koraki, Hiphopathis, Eleuthero Pneuma",Tokesick,https://www.youtube.com/watch?v=6JE1lR1lTIc,,,0.203,underground rap; hip hop
GR0024,Mazi Se Afto,92,03:29:00,2016,Perierga Paidia ,Logos Timis,"Eleuthero Pneuma, Hiphopathis, Koraki",Tokesick,https://www.youtube.com/watch?v=9MjX037pigE,,,0.192,underground rap; hip hop
